L,premierleague,10,Premier League,
N,THA,Thailand,570,thailand
N,TUN,Tunisia,440,tunisia
N,TUR,Turkey,240,turkey
N,UKR,Ukraine,330,ukraine
N,UAE,United Arab Emirates,830,unitedarabemirates
N,USA,United States,190,unitedstates
L,nwsl,10,National Women's Soccer League,
L,majorleaguesoccer,10,Major League Soccer,
L,nisa~nisachampionship,20,NISA Championship,
L,usl~uslchampionship,30,United Soccer League Championship,
L,uslleagueone,40,USL League 1,
N,URU,Uruguay,380,uruguay
L,primeradivision,10,Primera Division,
N,VEN,Venezuela,400,venezuela
L,primeradivision,10,Primera Division, 
N,VIE,Vietnam,880,vietnam
N,WAL,Wales,310,wales
