			C,cup,100,&Ouml;FB-Cup,
			N,AZE,Azerbaijan,820,azerbaijan
			L,premierleague,10,Premyer Liqa,
N,BLR,Belarus,450,belarus
C,supercup,1,Supercup,
			L,premierleague,10,Premier League,
			C,premierleaguequalification,11,Premier League Qualification,
C,cup,100,Belorussian FA Cup,
N,BEL,Belgium,80,belgium
C,supercup,1,Super Cup,
L,firstdivisiona,10,First Division A,
L,firstdivisionb2ndstage,11,First Division 2nd Stage,
C,firstdivisionaplayoffelgrpa,12,Europa League Playoff Qualifiers Group A,
C,firstdivisionaplayoffelgrpb,13,Europa League Playoff Qualifiers Group B,
C,firstdivisionaplayoffchampionshipgroup,14,First Division A Playoff Championship Group,
C,firstdivisionaplayoffelfinalstage,15,First Division Playoff Europa League Playoff,
L,firstdivisionb,20,First Division B,
L,firstdivisionb1ststage,20,First Division B 1st Stage,
C,firstdivisionbpromotionplayoff,21,First Division B Promotion Playoff,
L,firstdivisionbrelegationgroup,22,First Division B Relegation Group,
C,cup,100,Belgian Cup,
N,BOL,Bolivia,760,bolivia
L,primeradivision,10,Liga Nacional,
L,primeradivisionclausura,10,Liga Nacional Clausura,
L,primeradivisionapertura,10,Liga Nacional Apertura,
C,primeradivisionclausuraadecuacion,10,Liga Nacional Clausura Adecuaci&oacute;n,
C,primeradivisionaperturaadecuacion,10,Liga Nacional Apertura Adecuaci&oacute;n,
C,primeradivisionqualification,11,Liga Nacional Qualification,
C,primeradivisionaperturachampionshipplayoff,15,Liga Nacional Apertura - Playoff,
C,primeradivisioncopasudamericanaplayoff,16,Liga Nacional Copa Sudamericana Playoff,
C,primeradivisionaperturafinalstage,17,Liga Nacional Finals,
N,BIH,Bosnia-Herzogovina,540,bosniaherzogovina
L,premierleague,10,Premijer Liga,
L,premierleaguechampionshipgroup,11,Premijer Liga Championship Group,
L,premierleaguerelegationgroup,12,Premijer Liga Relegation Group,
N,BRA,Brazil,360,brazil
C,supercup,1,Super Cup,
			L,seriea,10,Serie A,
			L,serieb,15,Serie B,
L,paulista,20,Campeonato Paulista,
L,paulistaa1,20,Campeonato Paulista,
C,paulistaa1playoff,21,Campeonato Paulista Playoff,
C,paulistaa1trophyinterior,22,Campeonato Paulista Trophy Interior,
C,paulistaa1trophyinteriorplayoff,23,Campeonato Paulista Trophy Interior Playoff,
L,mineiro,20,Campeonato Mineiro,
C,mineiroplayoff,21,Campeonato Mineiro Playoffs,
C,mineirotrofeuinconfidenciaplayoff,21,Mineiro Trofeu Inconfidencia Playoff,
C,cariocatacaguanabara,21,Carioca Ta&ccedil;a Guanabara,
C,cariocapreliminarystage,21,Carioca Ta&ccedil;a Preliminary Round,
L,cariocatacaguanabaragrpa,21,Carioca Ta&ccedil;a Guanabara Group A,
L,cariocatacaguanabaragrpb,22,Carioca Ta&ccedil;a Guanabara Group B,
L,cariocatacaguanabaragrpc,23,Carioca Ta&ccedil;a Guanabara Group C,
C,carioca2ndrelegationgroupstage~carioca2ndstagerelegationgroup,24,Carioca Ta&ccedil;a 2nd Stage Relegation Group,
C,cariocatacaguanabaraplayoff,25,Carioca Ta&ccedil;a Guanabara Playoff,
C,cariocatacariogroupstage,26,Carioca Ta&ccedil;a Rio Group Stage,
C,cariocatacariogroupa,27,Carioca Ta&ccedil;a Rio Group A,
C,cariocatacariogroupb,27,Carioca Ta&ccedil;a Rio Group B,
C,cariocatacarioplayoff,27,Carioca Ta&ccedil;a Rio Playoff,
C,cariocachampionshipplayoff,28,Carioca Ta&ccedil;a Championship Playoff,
C,cup,10,Copa do Brasil,
N,BUL,Bulgaria,390,bulgaria
C,supercup,1,Bulgarian Super Cup,
L,firstprofessionalleague,10,First League,
L,firstprofessionalleague1ststage,10,First League (1st Stage),
C,firstprofessionalleaguechampionshipplayoff,11,First League Championship Playoff,
C,firstprofessionalleagueeuropaleagueplayoff,12,First League Europa League Playoff,
L,firstprofessionalleaguerelegationgrp1,13,First League Relegation Group 1,
L,firstprofessionalleaguerelegationgrp2,14,First League Relegation Group 2,
C,firstprofessionalleaguerelegationplayoff,15,First League Relegation Playoff,
C,firstprofessionalleaguequalification,16,First League Qualification,
C,firstprofessionalleaguequalificationplayoff,16,First League Qualification Playoff,
C,cup,100,Bulgarian FA Cup,
			N,CAN,Canada,210,canada
			L,premierleague,10,Canadian Premier League,
L,premierleaguechampionshipfinal,11,Canadian Premier League Final,
L,premierleaguechampionshipgroupstage,11,Canadian Premier Leage Group Stage
L,premierleaguefallseason,10,Canadian Premier League (Fall),
L,canadianchampionship,20,Canadian Championship,
N,CHI,Chile,580,chile
C,supercup,1,Supercopa de Chile,
L,primeradivision,10,Primera Divisi&oacute;n,
